GOTIC_INSTANCE gotic_3_1_10_ex1
nbTIC 3
nbJOB 10
nbTIC 3
nbCMP 1
speed 50

#        id     x   y  t_start t_end   cmp_list
TIC	TIC_1	11	21	480	1080	1 
TIC	TIC_2	26	79	480	1080	1 
TIC	TIC_3	55	67	480	1080	1 

#        id     x   y    t_min t_max   C   D   d       P
JOB	JOB_1	58	55	990	1079	1	30	1	100000
JOB	JOB_2	30	19	750	839	1	60	1	100000
JOB	JOB_3	41	45	0	1469	1	30	0	100000
JOB	JOB_4	58	24	840	1019	1	60	1	100000
JOB	JOB_5	16	9	570	689	1	60	1	100000
JOB	JOB_6	18	32	690	809	1	30	1	100000
JOB	JOB_7	89	100	0	1469	1	60	0	100000
JOB	JOB_8	57	75	0	1469	1	60	0	100000
JOB	JOB_9	89	60	600	779	1	90	1	100000
JOB	JOB_10	89	3	570	629	1	30	1	100000

END
