GOTIC_INSTANCE gotic_8_5_20_ex4
nbTIC 8
nbJOB 20
nbTIC 8
nbCMP 5
speed 50

#        id     x   y  t_start t_end   cmp_list
TIC	TIC_1	49	73	480	1080	4 5 
TIC	TIC_2	45	69	480	1080	4 
TIC	TIC_3	18	63	480	1080	2 4 
TIC	TIC_4	13	54	480	1080	1 2 
TIC	TIC_5	87	82	480	1080	3 4 
TIC	TIC_6	19	88	480	1080	2 3 5 
TIC	TIC_7	44	63	480	1080	1 4 
TIC	TIC_8	60	17	480	1080	2 

#        id     x   y    t_min t_max   C   D   d       P
JOB	JOB_1	25	6	0	1469	3	60	0	100000
JOB	JOB_2	36	32	690	779	3	30	1	100000
JOB	JOB_3	71	22	600	749	5	30	1	100000
JOB	JOB_4	98	57	720	839	1	60	1	100000
JOB	JOB_5	82	86	660	809	1	30	1	100000
JOB	JOB_6	73	55	0	1469	2	60	0	100000
JOB	JOB_7	30	52	690	779	4	60	1	100000
JOB	JOB_8	79	26	0	1469	4	60	0	100000
JOB	JOB_9	24	41	0	1469	4	30	0	100000
JOB	JOB_10	90	7	600	659	4	30	1	100000
JOB	JOB_11	69	69	840	959	2	30	1	100000
JOB	JOB_12	46	8	510	659	2	60	1	100000
JOB	JOB_13	95	28	570	749	4	60	1	100000
JOB	JOB_14	20	60	510	659	2	60	1	100000
JOB	JOB_15	3	15	570	659	5	60	1	100000
JOB	JOB_16	70	50	0	1469	2	30	0	100000
JOB	JOB_17	57	95	660	749	4	30	1	100000
JOB	JOB_18	94	57	810	989	1	60	1	100000
JOB	JOB_19	66	91	930	989	1	30	1	100000
JOB	JOB_20	98	50	660	719	4	30	1	100000

END
