GOTIC_INSTANCE gotic_3_1_10_ex4
nbTIC 3
nbJOB 10
nbTIC 3
nbCMP 1
speed 50

#        id     x   y  t_start t_end   cmp_list
TIC	TIC_1	82	84	480	1080	1 
TIC	TIC_2	78	15	480	1080	1 
TIC	TIC_3	89	69	480	1080	1 

#        id     x   y    t_min t_max   C   D   d       P
JOB	JOB_1	60	34	0	1469	1	90	0	100000
JOB	JOB_2	40	8	600	779	1	30	1	100000
JOB	JOB_3	17	32	900	1019	1	30	1	100000
JOB	JOB_4	34	31	0	1469	1	90	0	100000
JOB	JOB_5	72	11	510	629	1	90	1	100000
JOB	JOB_6	23	28	780	869	1	60	1	100000
JOB	JOB_7	56	21	630	689	1	90	1	100000
JOB	JOB_8	52	46	840	959	1	30	1	100000
JOB	JOB_9	25	95	720	899	1	60	1	100000
JOB	JOB_10	29	98	750	839	1	30	1	100000

END
