GOTIC_INSTANCE gotic_3_1_10_ex2
nbTIC 3
nbJOB 10
nbTIC 3
nbCMP 1
speed 50

#        id     x   y  t_start t_end   cmp_list
TIC	TIC_1	22	38	480	1080	1 
TIC	TIC_2	26	41	480	1080	1 
TIC	TIC_3	59	12	480	1080	1 

#        id     x   y    t_min t_max   C   D   d       P
JOB	JOB_1	3	39	720	899	1	30	1	100000
JOB	JOB_2	62	41	0	1469	1	90	0	100000
JOB	JOB_3	70	89	690	869	1	60	1	100000
JOB	JOB_4	60	15	540	599	1	90	1	100000
JOB	JOB_5	24	85	810	899	1	30	1	100000
JOB	JOB_6	9	58	0	1469	1	90	0	100000
JOB	JOB_7	89	68	0	1469	1	90	0	100000
JOB	JOB_8	24	2	690	809	1	30	1	100000
JOB	JOB_9	92	18	810	929	1	60	1	100000
JOB	JOB_10	6	21	540	629	1	30	1	100000

END
