name = gotic_20_3_50_ex6;
nbCMP = 3;
speed = 40;

// Les techniciens
//       id     x     y  t_start  t_end   cmp_list
tics_data = {
  <   TIC_1    84    84      480   1080   {1 3} >
  <   TIC_2    82    40      480   1080   {1} >
  <   TIC_3    88    28      480   1080   {2 3} >
  <   TIC_4    76    58      480   1080   {1 3} >
  <   TIC_5    70    13      480   1080   {1} >
  <   TIC_6     9    42      480   1080   {1} >
  <   TIC_7    17    74      480   1080   {2} >
  <   TIC_8    78    92      480   1080   {1 3} >
  <   TIC_9    72    91      480   1080   {1 3} >
  <  TIC_10    45    37      480   1080   {2} >
  <  TIC_11     7    98      480   1080   {1 3} >
  <  TIC_12    62    75      480   1080   {1 2} >
  <  TIC_13    40    44      480   1080   {1 3} >
  <  TIC_14    38    51      480   1080   {2} >
  <  TIC_15    92    48      480   1080   {1 2} >
  <  TIC_16    82     7      480   1080   {3} >
  <  TIC_17     3    91      480   1080   {1 2 3} >
  <  TIC_18    28    82      480   1080   {3} >
  <  TIC_19    54    80      480   1080   {1 2 3} >
  <  TIC_20    60    90      480   1080   {1 2} >
};

// Les interventions
//       id     x     y   t_min  t_max  cmp  dur day   penal
jobs_data = {
  <  JOB_1    64    83     840    929    3   60   1  100000 >
  <  JOB_2    96    57     570    749    1   30   1  100000 >
  <  JOB_3    79    52       0   1439    1   30   0  100000 >
  <  JOB_4    18    81     480    539    3   30   1  100000 >
  <  JOB_5    63    99     870   1019    2   30   1  100000 >
  <  JOB_6    10    74     780    839    3   60   1  100000 >
  <  JOB_7    99    97     960   1019    2   60   1  100000 >
  <  JOB_8    13    73     510    569    2   60   1  100000 >
  <  JOB_9    49    47     510    569    2   60   1  100000 >
  <  JOB_10    15    58       0   1439    3   60   0  100000 >
  <  JOB_11    47    50       0   1439    3   30   0  100000 >
  <  JOB_12    99    74     810    869    3   60   1  100000 >
  <  JOB_13     5    76       0   1439    1   60   0  100000 >
  <  JOB_14    97     1     840   1019    1   30   1  100000 >
  <  JOB_15    38    52     600    779    2   30   1  100000 >
  <  JOB_16    73    97     630    779    3   30   1  100000 >
  <  JOB_17    49    25     570    689    3   30   1  100000 >
  <  JOB_18    98    76     480    599    2   60   1  100000 >
  <  JOB_19    20    86     540    659    1   30   1  100000 >
  <  JOB_20     5    26     630    749    2   30   1  100000 >
  <  JOB_21    31    34     630    719    2   60   1  100000 >
  <  JOB_22    25    73       0   1439    3   60   0  100000 >
  <  JOB_23    84    74     630    689    2   30   1  100000 >
  <  JOB_24     7    68     630    689    1   30   1  100000 >
  <  JOB_25    97    18     480    599    2   30   1  100000 >
  <  JOB_26    32    74     870    929    3   30   1  100000 >
  <  JOB_27    92    23       0   1439    1   60   0  100000 >
  <  JOB_28    96    67     510    629    3   30   1  100000 >
  <  JOB_29    87     3     750    809    2   60   1  100000 >
  <  JOB_30    22    29     630    779    1   30   1  100000 >
  <  JOB_31    95    70     720    779    2   60   1  100000 >
  <  JOB_32    30    43     510    659    1   60   1  100000 >
  <  JOB_33     4    54     540    719    2   30   1  100000 >
  <  JOB_34    91    22     750    929    2   60   1  100000 >
  <  JOB_35    51    47     780    899    1   60   1  100000 >
  <  JOB_36    77     4       0   1439    2   30   0  100000 >
  <  JOB_37    13    40     690    869    2   60   1  100000 >
  <  JOB_38    43    63     810    899    1   60   1  100000 >
  <  JOB_39     7    30     780    959    1   30   1  100000 >
  <  JOB_40    57    57     870    929    3   60   1  100000 >
  <  JOB_41     1    78     720    899    2   60   1  100000 >
  <  JOB_42    46    92     480    659    2   30   1  100000 >
  <  JOB_43    64    90     570    689    3   30   1  100000 >
  <  JOB_44    78    63     780    869    1   30   1  100000 >
  <  JOB_45    12    71     900    959    3   60   1  100000 >
  <  JOB_46    20    94     900    959    3   30   1  100000 >
  <  JOB_47    79    39     780    929    1   60   1  100000 >
  <  JOB_48    32     2     840   1019    1   60   1  100000 >
  <  JOB_49     6    78     630    689    1   30   1  100000 >
  < JOB_50    77    32     600    719    3   30   1  100000 >
};


