name = gotic_15_20_40_ex1;
// nbTIC = 15;
// nbJOB = 40;
nbCMP = 20;
speed = 50;

// Les techniciens
//       id     x     y  t_start  t_end   cmp_list
tics_data = {
  <   TIC_1    68    64      480   1080   {11 15 16 17} >
  <   TIC_2    68    37      480   1080   {4 5 10 11} >
  <   TIC_3    86    63      480   1080   {3 5 6 7 8 9 12 15} >
  <   TIC_4    86    41      480   1080   {2 11 16 18} >
  <   TIC_5    42    75      480   1080   {3 18} >
  <   TIC_6    59    45      480   1080   {8 14 20} >
  <   TIC_7    74    62      480   1080   {6 17} >
  <   TIC_8    38    53      480   1080   {4 14 15 16} >
  <   TIC_9    47    69      480   1080   {3 7 10 11 17} >
  <  TIC_10    31    79      480   1080   {7 10} >
  <  TIC_11    13    74      480   1080   {1 2 8 9 10 12 13 14} >
  <  TIC_12    35    44      480   1080   {18 19} >
  <  TIC_13    57    87      480   1080   {3 4 12 13 19 20} >
  <  TIC_14    56    84      480   1080   {4 7 8 11 14 18} >
  <  TIC_15    87    23      480   1080   {19} >
};

// Les interventions
//       id     x     y   t_min  t_max  cmp  dur day   penal
jobs_data = {
  <   JOB_1    29    31     750    839   11   60   1    100000 >
  <   JOB_2    76    99       0   1469    6   60   0    100000 >
  <   JOB_3    17    90     570    689    4   60   1    100000 >
  <   JOB_4    71    88     570    719   19   30   1    100000 >
  <   JOB_5    44    86       0   1469    6   60   0    100000 >
  <   JOB_6    86    35       0   1469   12   30   0    100000 >
  <   JOB_7    69    58     840    989    8   30   1    100000 >
  <   JOB_8    32    24     690    749    3   60   1    100000 >
  <   JOB_9    34    51     720    809    9   60   1    100000 >
  <  JOB_10    94    85     810    959   12   30   1    100000 >
  <  JOB_11    97    35     570    749    3   60   1    100000 >
  <  JOB_12    77     4     570    689   19   60   1    100000 >
  <  JOB_13    75     9     660    839    8   60   1    100000 >
  <  JOB_14    30   100     840    989   11   60   1    100000 >
  <  JOB_15    28    52     720    809   13   60   1    100000 >
  <  JOB_16    53     5     540    659    2   30   1    100000 >
  <  JOB_17    42    46     690    809    5   30   1    100000 >
  <  JOB_18    13    46     570    659    8   60   1    100000 >
  <  JOB_19    44    34     630    749   18   30   1    100000 >
  <  JOB_20    90    83     720    809   10   60   1    100000 >
  <  JOB_21    70    50     540    599   10   30   1    100000 >
  <  JOB_22    45    74     780    959   17   60   1    100000 >
  <  JOB_23    44    91     900    989   20   30   1    100000 >
  <  JOB_24    85    39     600    779    1   60   1    100000 >
  <  JOB_25    17    64     570    719   17   30   1    100000 >
  <  JOB_26   100    43       0   1469    3   30   0    100000 >
  <  JOB_27     6     2     600    749    4   60   1    100000 >
  <  JOB_28    22    35     720    809   16   60   1    100000 >
  <  JOB_29    98    54     660    809   18   30   1    100000 >
  <  JOB_30    13    83     840    929   14   60   1    100000 >
  <  JOB_31    28    29     540    689   20   60   1    100000 >
  <  JOB_32    64    91       0   1469    4   60   0    100000 >
  <  JOB_33    47    77       0   1469    4   60   0    100000 >
  <  JOB_34    80    42     540    689   15   60   1    100000 >
  <  JOB_35    70    43     540    659   15   30   1    100000 >
  <  JOB_36    61    72       0   1469   14   60   0    100000 >
  <  JOB_37    62    46     600    749   16   60   1    100000 >
  <  JOB_38    88    82     930   1049    3   60   1    100000 >
  <  JOB_39    11    34     690    779   16   60   1    100000 >
  <  JOB_40    83    22     930   1109    7   30   1    100000 >
};

