name = gotic_4_2_20_ex4;
nbCMP= 2;
speed = 44;
tics_data = {
 < TIC_1 12 55 480 1080 {1 2 } >
 < TIC_4 71 47 480 1080 {1 2 } >
 < TIC_5 55 84 480 1080 {2 } >
 < TIC_7 67 22 480 1080 {1 2 } >
};
jobs_data = {
 < JOB_1 63 13 570 749 2 30 1 100000>
 < JOB_2 75 20 0 1469 1 30 0 100000>
 < JOB_3 62 18 900 1049 2 30 1 100000>
 < JOB_4 92 72 690 749 1 60 1 100000>
 < JOB_5 26 92 570 719 2 30 1 100000>
 < JOB_6 56 10 0 1469 2 60 0 100000>
 < JOB_7 12 98 540 689 1 30 1 100000>
 < JOB_8 21 25 660 719 1 60 1 100000>
 < JOB_9 47 84 0 1469 2 30 0 100000>
 < JOB_10 9 70 630 809 2 30 1 100000>
 < JOB_11 69 48 660 779 1 60 1 100000>
 < JOB_12 33 72 540 689 2 60 1 100000>
 < JOB_13 92 74 0 1469 1 30 0 100000>
 < JOB_14 38 40 540 719 2 60 1 100000>
 < JOB_15 20 88 930 1109 2 30 1 100000>
 < JOB_16 81 89 720 869 2 30 1 100000>
 < JOB_17 4 13 810 929 1 30 1 100000>
 < JOB_18 83 33 810 899 2 60 1 100000>
 < JOB_19 82 5 510 659 2 30 1 100000>
 < JOB_20 51 16 750 809 2 60 1 100000>
};
