name = gotic_5_1_20_ex3;
nbCMP= 1;
speed = 54;
tics_data = {
 < TIC_1 12 55 480 1080 {1 } >
 < TIC_2 84 31 480 1080 {1 } >
 < TIC_3 71 78 480 1080 {1 } >
 < TIC_4 71 47 480 1080 {1 } >
 < TIC_5 55 84 480 1080 {1 } >
};
jobs_data = {
 < JOB_1 63 13 570 749 1 30 1 100000>
 < JOB_2 75 20 0 1469 1 30 0 100000>
 < JOB_3 62 18 900 1049 1 30 1 100000>
 < JOB_4 92 72 690 749 1 60 1 100000>
 < JOB_5 26 92 570 719 1 30 1 100000>
 < JOB_6 56 10 0 1469 1 60 0 100000>
 < JOB_7 12 98 540 689 1 30 1 100000>
 < JOB_8 21 25 660 719 1 60 1 100000>
 < JOB_9 47 84 0 1469 1 30 0 100000>
 < JOB_10 9 70 630 809 1 30 1 100000>
 < JOB_11 69 48 660 779 1 60 1 100000>
 < JOB_12 33 72 540 689 1 60 1 100000>
 < JOB_13 92 74 0 1469 1 30 0 100000>
 < JOB_14 38 40 540 719 1 60 1 100000>
 < JOB_15 20 88 930 1109 1 30 1 100000>
 < JOB_16 81 89 720 869 1 30 1 100000>
 < JOB_17 4 13 810 929 1 30 1 100000>
 < JOB_18 83 33 810 899 1 60 1 100000>
 < JOB_19 82 5 510 659 1 30 1 100000>
 < JOB_20 51 16 750 809 1 60 1 100000>
};
