name = gotic_15_10_40_ex4;
nbCMP= 10;
speed = 50;
tics_data = {
 < TIC_1 62 18 480 1080 {3 4 5 7 } >
 < TIC_2 88 73 480 1080 {7 9 } >
 < TIC_3 69 37 480 1080 {2 6 7 8 } >
 < TIC_4 60 86 480 1080 {3 5 } >
 < TIC_5 38 23 480 1080 {2 4 } >
 < TIC_6 43 23 480 1080 {1 5 7 10 } >
 < TIC_7 30 51 480 1080 {6 7 8 } >
 < TIC_8 58 23 480 1080 {1 3 4 10 } >
 < TIC_9 87 74 480 1080 {2 4 5 6 9 } >
 < TIC_10 17 17 480 1080 {4 7 8 9 } >
 < TIC_11 85 79 480 1080 {5 6 7 } >
 < TIC_12 87 63 480 1080 {8 9 10 } >
 < TIC_13 79 54 480 1080 {1 2 4 7 8 } >
 < TIC_14 86 22 480 1080 {2 3 4 7 } >
 < TIC_15 63 56 480 1080 {2 } >
};
jobs_data = {
 < JOB_1 44 24 840 899 5 30 1 100000>
 < JOB_2 75 64 0 1469 7 60 0 100000>
 < JOB_3 89 100 810 929 3 60 1 100000>
 < JOB_4 84 71 750 839 10 30 1 100000>
 < JOB_5 28 51 0 1469 9 30 0 100000>
 < JOB_6 34 1 0 1469 3 30 0 100000>
 < JOB_7 67 4 0 1469 5 30 0 100000>
 < JOB_8 45 29 0 1469 7 60 0 100000>
 < JOB_9 13 46 930 1109 5 30 1 100000>
 < JOB_10 2 6 600 659 2 60 1 100000>
 < JOB_11 70 72 930 1049 4 30 1 100000>
 < JOB_12 83 17 0 1469 4 60 0 100000>
 < JOB_13 69 54 930 1019 2 30 1 100000>
 < JOB_14 29 44 0 1469 10 30 0 100000>
 < JOB_15 44 7 0 1469 6 60 0 100000>
 < JOB_16 44 22 600 689 7 60 1 100000>
 < JOB_17 74 31 780 959 6 30 1 100000>
 < JOB_18 98 83 600 689 7 60 1 100000>
 < JOB_19 55 70 0 1469 1 60 0 100000>
 < JOB_20 30 91 720 839 8 60 1 100000>
 < JOB_21 54 47 540 659 4 30 1 100000>
 < JOB_22 59 80 810 869 7 60 1 100000>
 < JOB_23 34 40 720 839 2 60 1 100000>
 < JOB_24 43 44 510 629 8 30 1 100000>
 < JOB_25 77 87 510 629 6 60 1 100000>
 < JOB_26 80 99 780 869 3 30 1 100000>
 < JOB_27 82 66 900 1079 1 60 1 100000>
 < JOB_28 42 76 810 959 3 60 1 100000>
 < JOB_29 47 45 540 689 10 60 1 100000>
 < JOB_30 94 99 540 599 9 60 1 100000>
 < JOB_31 54 49 0 1469 4 60 0 100000>
 < JOB_32 98 83 630 719 9 60 1 100000>
 < JOB_33 46 97 570 629 5 30 1 100000>
 < JOB_34 88 81 0 1469 1 30 0 100000>
 < JOB_35 10 70 570 659 10 60 1 100000>
 < JOB_36 43 22 540 689 9 60 1 100000>
 < JOB_37 97 62 510 599 8 60 1 100000>
 < JOB_38 60 43 0 1469 4 60 0 100000>
 < JOB_39 36 50 630 719 8 30 1 100000>
 < JOB_40 5 43 720 779 5 30 1 100000>
};
